col_1,col_2,col_3,nom_commune,longitude,latitude
mionnay,MIONNAY,mionnay,Mionnay,4.93333,45.9
germagnat,GERMAGNAT,germagnat,Germagnat,5.45,46.3167
coligny,COLIGNY,coligny,Coligny,5.35,46.3833
simandre-sur-suran,SIMANDRE-SUR-SURAN,simandre sur suran,Simandre-sur-Suran,5.41667,46.2167
abergement-clemenciat,L'ABERGEMENT-CLEMENCIAT,l abergement clemenciat,L'Abergement-Clémenciat,4.91667,46.15
lescheroux,LESCHEROUX,lescheroux,Lescheroux,5.15,46.4
ornex,ORNEX,ornex,Ornex,6.1,46.2833
dommartin-01,DOMMARTIN,dommartin,Dommartin,4.99167,46.3417
lompnas,LOMPNAS,lompnas,Lompnas,5.51667,45.8
bettant,BETTANT,bettant,Bettant,5.36667,45.9333
armix,ARMIX,armix,Armix,5.58333,45.85
feillens,FEILLENS,feillens,Feillens,4.88333,46.3333
chavornay,CHAVORNAY,chavornay,Chavornay,5.7,45.8833
challex,CHALLEX,challex,Challex,5.96667,46.1833
vongnes,VONGNES,vongnes,Vongnes,5.71667,45.8167
magnieu,MAGNIEU,magnieu,Magnieu,5.71667,45.7833
groissiat,GROISSIAT,groissiat,Groissiat,5.6,46.2167
dompierre-sur-chalaronne,DOMPIERRE-SUR-CHALARONNE,dompierre sur chalaronne,Dompierre-sur-Chalaronne,4.9,46.1333
montluel,MONTLUEL,montluel,Montluel,05.05,45.85
poizat,LE POIZAT,le poizat,Le Poizat,5.7,46.15
hostiaz,HOSTIAZ,hostiaz,Hostiaz,5.53333,45.9
montanges,MONTANGES,montanges,Montanges,5.8,46.1667
sainte-julie,SAINTE-JULIE,sainte julie,Sainte-Julie,5.28333,45.8833
bey-01,BEY,bey,Bey,4.85,46.2167
sonthonnax-la-montagne,SONTHONNAX-LA-MONTAGNE,sonthonnax la montagne,Sonthonnax-la-Montagne,5.53333,46.2333
mezeriat,MEZERIAT,mezeriat,Mézériat,5.03333,46.2333
bellignat,BELLIGNAT,bellignat,Bellignat,5.61667,46.25
saint-marcel-01,SAINT-MARCEL,saint marcel,Saint-Marcel,4.98723,45.9487
belley,BELLEY,belley,Belley,5.68333,45.7667
corbonod,CORBONOD,corbonod,Corbonod,5.81667,45.95
neyron,NEYRON,neyron,Neyron,4.93223,45.8148
saint-paul-de-varax,SAINT-PAUL-DE-VARAX,saint paul de varax,Saint-Paul-de-Varax,5.13333,46.1
pressiat,PRESSIAT,pressiat,Pressiat,5.38333,46.3333
chazey-bons,CHAZEY-BONS,chazey bons,Chazey-Bons,5.68333,45.8
servignat,SERVIGNAT,servignat,Servignat,5.06667,46.4333
marlieux,MARLIEUX,marlieux,Marlieux,5.06667,46.0667
andert-et-condon,ANDERT-ET-CONDON,andert et condon,Andert-et-Condon,5.65,45.8
hautecourt-romaneche,HAUTECOURT-ROMANECHE,hautecourt romaneche,Hautecourt-Romanèche,5.41667,46.1583
crottet,CROTTET,crottet,Crottet,4.9,46.2833
druillat,DRUILLAT,druillat,Druillat,5.31667,46.0667
dompierre-sur-veyle,DOMPIERRE-SUR-VEYLE,dompierre sur veyle,Dompierre-sur-Veyle,5.2,46.0667
perouges,PEROUGES,perouges,Pérouges,5.18333,45.9
rignieux-le-franc,RIGNIEUX-LE-FRANC,rignieux le franc,Rignieux-le-Franc,5.18333,45.9333
giron,GIRON,giron,Giron,5.76667,46.2333
cerdon-01,CERDON,cerdon,Cerdon,5.46667,46.0833
cruzilles-les-mepillat,CRUZILLES-LES-MEPILLAT,cruzilles les mepillat,Cruzilles-lès-Mépillat,4.88333,46.2167
lelex,LELEX,lelex,Lélex,5.95,46.3
lhopital,LHOPITAL,lhopital,Lhôpital,5.77834,46.0217
segny,SEGNY,segny,Ségny,6.08333,46.3
cheignieu-la-balme,CHEIGNIEU-LA-BALME,cheignieu la balme,Cheignieu-la-Balme,5.61667,45.8333
saint-vulbas,SAINT-VULBAS,saint vulbas,Saint-Vulbas,5.28333,45.8333
echallon,ECHALLON,echallon,Échallon,5.74139,46.21
montellier,LE MONTELLIER,le montellier,Le Montellier,5.06667,45.9333
martignat,MARTIGNAT,martignat,Martignat,5.6,46.2167
ceyzeriat,CEYZERIAT,ceyzeriat,Ceyzériat,5.31667,46.1667
montcet,MONTCET,montcet,Montcet,5.11667,46.2
vonnas,VONNAS,vonnas,Vonnas,5,46.2167
buellas,BUELLAS,buellas,Buellas,5.13333,46.2
saint-benigne,SAINT-BENIGNE,saint benigne,Saint-Bénigne,4.96667,46.4333
chevillard,CHEVILLARD,chevillard,Chevillard,5.58333,46.1167
bouligneux,BOULIGNEUX,bouligneux,Bouligneux,5,46.0167
contrevoz,CONTREVOZ,contrevoz,Contrevoz,5.63333,45.8
champdor,CHAMPDOR,champdor,Champdor,5.6,46.0167
