nom_com,nom_com_m,insee_com,statut,population,insee_arr,insee_dep,insee_reg,code_epci,X_COORD,Y_COORD,latitude,longitude
Saint-Martin-la-Méanne,SAINT-MARTIN-LA-MEANNE,19222,Commune simple,340,2,19,75,200066751,621045.13193,6452956.07108,45.175452,2.00261
Saint-Firmin-sur-Loire,SAINT-FIRMIN-SUR-LOIRE,45276,Commune simple,521,1,45,24,200068278,677400.869826,6722839.50117,47.627275,2.730389
Bois-Héroult,BOIS-HEROULT,76109,Commune simple,200,3,76,28,200070449,584718.135821,6941688.32037,49.584653,1.424404
Saint-Sébastien-de-Morsent,SAINT-SEBASTIEN-DE-MORSENT,27602,Commune simple,5697,3,27,28,200071454,559161.506522,6880919.38701,49.00988,1.063334
Le Bignon,LE BIGNON,44014,Commune simple,3770,2,44,52,244400438,358158.314336,6676443.88997,47.120559,-1.505029
Arsague,ARSAGUE,40011,Commune simple,340,1,40,75,244000881,393874.110435,6283211.9732,43.590511,-0.792159
Vieillevigne,VIEILLEVIGNE,31576,Commune simple,339,3,31,76,200071298,591356.538925,6257380.71071,43.409911,1.657545
Montivernage,MONTIVERNAGE,25401,Commune simple,28,1,25,27,242504447,958438.954708,6695702.77107,47.317126,6.425984
La Chapelle-sur-Erdre,LA CHAPELLE-SUR-ERDRE,44035,Commune simple,19609,2,44,52,244400404,355605.592905,6699145.45751,47.30876,-1.557905
Pointre,POINTRE,39432,Commune simple,126,1,39,27,200010650,888412.450677,6683170.05388,47.224775,5.493853
Mœuvres,MŒUVRES,59405,Commune simple,465,2,59,32,200068500,704850.808832,7006870.50666,50.159229,3.064191
Osmoy,OSMOY,78475,Commune simple,364,1,78,11,247800550,605897.233928,6863430.02062,48.859354,1.711526
Agon-Coutainville,AGON-COUTAINVILLE,50003,Commune simple,2791,3,50,28,200067023,365201.658939,6891688.1933,49.053797,-1.589907
Laillé,LAILLE,35139,Commune simple,5026,3,35,53,243500139,348426.943112,6773455.89532,47.979676,-1.719923
Labastide,LABASTIDE,65239,Commune simple,157,2,65,76,200070787,484033.114378,6218825.15348,43.477403,2.640672
Lostanges,LOSTANGES,19119,Commune simple,139,1,19,75,200066769,603559.676883,6441764.59239,45.068362,1.769139
Épineau-les-Voves,EPINEAU-LES-VOVES,89152,Commune simple,742,1,89,27,248900383,735112.9969369998,6760755.86018,47.94617,3.471191
Saint-Souplet,SAINT-SOUPLET,59545,Commune simple,1230,2,59,32,200030633,736975.392236,6995057.05422,50.036569,3.506537
Cierges,CIERGES,02193,Commune simple,66,1,02,32,200072031,744109.3736049999,6896259.12658,49.168686,3.59892
Richemont,RICHEMONT,76527,Commune simple,453,1,76,28,200069722,602312.687663,6968755.60717,49.808253,1.643512
Achiet-le-Grand,ACHIET-LE-GRAND,62005,Commune simple,988,1,62,32,200035442,684178.132719,7003857.8905,50.131093,2.786769
Liac,LIAC,65273,Commune simple,196,3,65,76,200072106,465138.929529,6261594.69565,43.417893,0.100112
Le Housseau-Brétignolles,LE HOUSSEAU-BRETIGNOLLES,53118,Commune simple,247,3,53,52,200055887,438600.520316,6824829.76382,48.465728,-0.521571
Bayon-sur-Gironde,BAYON-SUR-GIRONDE,33035,Commune simple,704,1,33,75,200023794,415840.43569,6444716.95401,45.052932,-0.595267
Épagne-Épagnette,EPAGNE-EPAGNETTE,80268,Commune simple,544,1,80,32,200070993,618809.550427,6998225.7969,50.078587,1.855355
Oches,OCHES,08332,Commune simple,44,4,08,44,240800920,839814.402258,6935872.04057,49.503727,4.927713
Roppeviller,ROPPEVILLER,57594,Commune simple,105,6,57,44,200069441,1030120.95434,6897264.77274,49.100304,7.516012
Saint-Symphorien,SAINT-SYMPHORIEN,18236,Commune simple,134,2,18,24,200027076,646962.476856,6634446.49019,48.539954,-1.009806
Bazoches-les-Hautes,BAZOCHES-LES-HAUTES,28029,Commune simple,309,2,28,24,200070159,612319.710788,6785056.86188,48.151251,1.800046
Lagarde-Paréol,LAGARDE-PAREOL,84061,Commune simple,330,3,84,93,248400160,847877.3707279998,6349340.81828,44.223919,4.863992
Comblanchien,COMBLANCHIEN,21186,Commune simple,637,1,21,27,200070894,845495.551048,6668692.7514,47.102368,4.921599
Auboncourt-Vauzelles,AUBONCOURT-VAUZELLES,08027,Commune simple,100,2,08,44,240800862,807301.5671589999,6940728.50962,49.561442,4.477593
Arcizans-Dessus,ARCIZANS-DESSUS,65022,Commune simple,125,1,65,76,200070811,442101.304373,6215873.41227,42.982841,-0.153355
Asswiller,ASSWILLER,67013,Commune simple,276,4,67,44,200067841,1009653.61652,6872792.18529,48.880165,7.219173
Yainville,YAINVILLE,76750,Commune simple,1050,3,76,28,200023414,542509.760406,6930788.15734,49.455318,0.832273
Teillay,TEILLAY,35332,Commune simple,1061,2,35,53,200070662,361676.938233,6754925.14113,47.806754,-1.473661
Loconville,LOCONVILLE,60367,Commune simple,336,1,60,32,246000707,621250.637415,6906943.7451,49.255912,1.918776
Chauvigné,CHAUVIGNE,35075,Commune simple,845,1,35,53,200070688,370493.126689,6817760.67006,48.391814,-1.463306
Durlinsdorf,DURLINSDORF,68074,Commune simple,566,1,68,44,200066041,1018655.31597,6718699.9619,47.486505,7.242361
